time_s,delta_w_mps,delta_q_rads,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
1.7,-0.2848088762847745,-0.39736146916968446,0.05,-15.897316980509277,-0.3093835637780432,0.949887433676871,-0.006717558042911181,-0.0390177495866009,-0.0120129195084753,-22.72074405303874,-1.950944685566016,nan,MODEL_NOT_IDENTIFIED
1.72,-0.5972774588484121,-0.40021058032548706,0.05,-15.309001349273856,0.018213557700609312,1.6589987679804392,-0.014087503345664483,-0.06814533617207523,0.0007072062909500992,-39.682266608879736,0.11485304250598997,nan,MODEL_NOT_IDENTIFIED
1.74,-0.8956866171570859,-0.3968899186931538,0.05,-14.498317422120119,0.30734553869654163,2.3288943458582367,-0.021125840309117995,-0.09566208918946345,0.011933785921152934,-55.705771529149665,1.9380930842939503,nan,MODEL_NOT_IDENTIFIED
1.76,-1.1760034342552332,-0.388180480347914,0.05,-13.50654046686746,0.5569955449357994,2.9514113211696875,-0.02773744776259534,-0.12123271008092058,0.021627337167443778,-70.59600837539767,3.5123633751146404,nan,MODEL_NOT_IDENTIFIED
1.78,-1.4350079622342204,-0.37487475522378694,0.05,-12.373583187335067,0.7670150985473321,3.52023672472138,-0.033846379382886524,-0.14459788617169841,0.029782094847303126,-84.20197466862159,4.836727626983294,nan,MODEL_NOT_IDENTIFIED
1.8,-1.6702597945535826,-0.35776033478544617,0.05,-11.137396050719484,0.9380258569079192,4.030812140206732,-0.03939507526245735,-0.1655703751216459,0.03642219702397488,-96.41463579427962,5.915105954920438,nan,MODEL_NOT_IDENTIFIED
1.82,-1.8800537190790845,-0.3376055201642965,0.05,-9.83347466930725,1.0713181902481321,4.48021614085214,-0.04434331593330306,-0.18403017587143042,0.04159774692054789,-107.16411295659088,6.7556353165362495,nan,MODEL_NOT_IDENTIFIED
1.84,-2.0633665648610564,-0.3151469713868926,0.05,-8.49447113795397,1.1687488572327314,4.86702930787666,-0.04866696868463219,-0.19991898411615225,0.045380839809679954,-116.41645450014597,7.370024263523503,nan,MODEL_NOT_IDENTIFIED
1.86,-2.219797277097682,-0.2910793948217836,0.05,-7.149904614465766,1.232639827328613,5.191186421781873,-0.052356574159191774,-0.21323412088779137,0.04786163443143583,-124.17010041322315,7.772914924688823,nan,MODEL_NOT_IDENTIFIED
1.8800000000000001,-2.3495021466442645,-0.26604722758530874,0.05,-5.825965093092974,1.2656800385884495,5.453820126956118,-0.05541581866376331,-0.2240221108939586,0.04914453838910106,-130.45214287784134,7.98126349944892,nan,MODEL_NOT_IDENTIFIED
1.9000000000000001,-2.453126988327434,-0.24063824451165094,0.05,-4.54540325491181,1.2708316155897215,5.657100031654923,-0.057859934513573234,-0.23237207335932603,0.049344566726425385,-135.31447763671846,8.013748876662191,nan,MODEL_NOT_IDENTIFIED
1.92,-2.5317379115070717,-0.2153789854261174,0.05,-3.3274984717125253,1.2512418101210268,5.804070831108664,-0.05971406717318192,-0.23840907274085418,0.048583922710924474,-138.8299319940133,7.890217340585377,nan,MODEL_NOT_IDENTIFIED
1.94,-2.5867521618410776,-0.1907318777794513,0.05,-2.1880964772961127,1.2101616715777388,5.898492642596174,-0.06101164407677678,-0.24228756030213516,0.04698883992213233,-141.08844572498003,7.631169713766905,nan,MODEL_NOT_IDENTIFIED
1.96,-2.6198703397645207,-0.16709391203251098,0.05,-1.1397078840529202,1.150872209015115,5.94468632824963,-0.061792775919921106,-0.24418502056469704,0.0446867152301544,-142.19337128919773,7.257295741652469,nan,MODEL_NOT_IDENTIFIED
1.98,-2.6330111231322553,-0.14479671427725488,0.05,-0.19165859336165436,1.0766185758280657,5.947386163616829,-0.06210271701499363,-0.2442959194949783,0.04180355328129341,-142.25794974995912,6.789059067146488,nan,MODEL_NOT_IDENTIFIED
2.0,-2.6276692200173484,-0.11691383554976809,0.0,1.1187790521611296,3.1199194407328057,6.075654439372821,-0.06197672183990606,-0.24956469059976047,0.12114199169720188,-145.32605083252162,19.673928950726424,nan,MODEL_NOT_IDENTIFIED
2.02,-2.5812208180661376,-0.05728478057664526,0.0,3.469872420721006,2.83872463613491,5.898614216479827,-0.06088118071710852,-0.24229255409316816,0.11022360122879497,-141.0913537001738,17.900740023235084,nan,MODEL_NOT_IDENTIFIED
2.04,-2.491141777162084,-0.003505913914528244,0.0,5.481475965458571,2.53632244743499,5.630118581714287,-0.05875655878251083,-0.2312637783972671,0.09848175848938855,-134.66909735633294,15.99381925555366,nan,MODEL_NOT_IDENTIFIED
2.06,-2.3642201786193193,0.044081855882385904,0.0,7.154878291392022,2.2209252861008175,5.285909871884507,-0.05576296105398501,-0.21712499861187837,0.08623533962330042,-126.43582916096747,14.004953369358901,nan,MODEL_NOT_IDENTIFIED
2.08,-2.20715414075691,0.08529490037514639,0.0,8.497642859019132,1.9000368340423524,4.881336967281795,-0.052058370664548395,-0.20050668814512232,0.07377570182385003,-116.758685227511,11.981459902032706,nan,MODEL_NOT_IDENTIFIED
2.1,-2.0264350430446183,0.12009205853939905,0.0,9.522734160531215,1.5803919640511317,4.431109492036506,-0.04779589456415111,-0.18201306220238345,0.06136435053029403,-105.98951104115801,9.965808350403417,nan,MODEL_NOT_IDENTIFIED
2.12,-1.8282482656756793,0.14855884121899957,0.0,10.247642970775436,1.2679182561270645,3.9490927596014824,-0.04312142234376219,-0.16221365492956427,0.04923144516205795,-94.4599566764418,7.995377496193867,nan,MODEL_NOT_IDENTIFIED
2.14,-1.6183912921219132,0.17089106716510052,0.0,10.693527398205966,0.9677173278723797,3.4481426176815266,-0.03817169458616399,-0.1416365354732666,0.03757507420474262,-82.4775263858979,6.10233767717932,nan,MODEL_NOT_IDENTIFIED
2.16,-1.4022087101209146,0.18737830766693883,0.0,10.88438421476685,0.6840640280575576,2.93997868736243,-0.03307276978648158,-0.12076310112812058,0.026561223897447465,-70.32254655520985,4.313645701887435,nan,MODEL_NOT_IDENTIFIED
2.18,-1.1845433795810982,0.19838747654835523,0.0,10.846262683674578,0.4204214301237931,2.435093936969909,-0.02793887258880906,-0.10002436297611109,0.016324360408940468,-58.24600276354504,2.651139397264543,nan,MODEL_NOT_IDENTIFIED
2.2,-0.969702813886827,0.2043468603556077,0.0,10.606530874940393,0.17946950231334036,1.9426980805786507,-0.022871600849075396,-0.07979862091340523,0.006968543057649289,-46.468185909460466,1.1317183999166216,nan,MODEL_NOT_IDENTIFIED
2.22,-0.7614396430285423,0.2057308408938959,0.0,10.193202298948652,-0.036854681627570884,1.47069194059834,-0.01795946483459808,-0.06041041056325681,-0.0014310143644867789,-35.178078979165434,-0.23240227884607334,nan,MODEL_NOT_IDENTIFIED
2.24,-0.5629448911407087,0.20304551977649918,0.0,9.634328631413378,-0.22730729791343807,1.0256696584956946,-0.013277728666773953,-0.04213059408402815,-0.008826015966000498,-24.533409925681553,-1.4333791990732276,nan,MODEL_NOT_IDENTIFIED
2.2600000000000002,-0.3768527050719317,0.19681541311847606,0.0,8.957462375716702,-0.39128073516631895,0.6129454712517528,-0.008888521850061882,-0.025177460043836662,-0.015192869069612844,-14.661292145820488,-2.467380818538715,nan,MODEL_NOT_IDENTIFIED
2.2800000000000002,-0.20525511171885322,0.187571344613571,0.0,8.189191532514613,-0.5287411076354382,0.2366016864187054,-0.004841187341355782,-0.009718694052744893,-0.020530257940280947,-5.659372015090204,-3.3341934567722964,nan,MODEL_NOT_IDENTIFIED
2.3000000000000003,-0.04972535683421769,0.17583962754550433,0.0,7.354746737724217,-0.6401621403198893,-0.10044552226926123,-0.0011728320236913362,0.004125918604720256,-0.02485657663945322,2.402597320315785,-4.036804380641401,nan,MODEL_NOT_IDENTIFIED
2.32,0.08865161659613927,0.1621325912624598,0.0,6.477679899672186,-0.726457104141216,-0.39636582224438055,0.0020909544247736966,0.016281194853957112,-0.028207286165561396,9.480835390912594,-4.580972593724339,nan,MODEL_NOT_IDENTIFIED
